orth,base,ctag
fowl,fowl,ign
frachcie,fracht,subst:sg:loc:m3
fracht,fracht,subst:sg:nom:m3
frachtem,fracht,subst:sg:inst:m3
frachtu,fracht,subst:sg:gen:m3
frachtującego,frachtować,pact:sg:gen:m1:imperf:aff
frachtującemu,frachtować,pact:sg:dat:m1:imperf:aff
frachtujący,frachtować,pact:sg:nom:m1:imperf:aff
frachtujących,frachtować,pact:pl:gen:m1:imperf:aff
frachtującym,frachtować,pact:sg:inst:m1:imperf:aff
fragment,fragment,subst:sg:nom:m3
fragmentach,fragment,subst:pl:loc:m3
fragmentu,fragment,subst:sg:gen:m3
fragmenty,fragment,subst:pl:nom:m3
fragmentów,fragment,subst:pl:gen:m3
frakcjami,frakcja,subst:pl:inst:f
frakcje,frakcja,subst:pl:nom:f
frakcji,frakcja,subst:sg:gen:f
fraki,frak,subst:pl:nom:m3
francisella,francisella,ign
francja,Francja,subst:sg:nom:f
francji,Francja,subst:sg:gen:f
francuska,francuski,adj:sg:nom:f:pos
francuskich,francuski,subst:pl:gen:m3
francuskiej,francuski,adj:sg:gen:f:pos
francuskim,francuski,subst:sg:inst:m3
francuską,francuski,adj:sg:acc:f:pos
franków,frank,subst:pl:gen:m2
fraternitas,fraternitas,ign
frd,frd,ign
fretek,fretka,subst:pl:gen:f
frf,frf,ign
frombork,Frombork,subst:sg:nom:m3
froncie,front,subst:sg:loc:m3
frontowej,frontowy,adj:sg:gen:f:pos
froterowanie,froterować,ger:sg:nom:n:imperf:aff
frotte,frotte,adj:sg:nom:m1:pos
fruktoza,fruktoza,subst:sg:nom:f
fruktozy,fruktoza,subst:sg:gen:f
fryderyka,Fryderyk,subst:sg:gen:m1
fryderykiem,Fryderyk,subst:sg:inst:m1
fryderyku,Fryderyk,subst:sg:loc:m1
fryzjerskie,fryzjerski,adj:sg:nom:n:pos
fryzowanie,fryzować,ger:sg:nom:n:imperf:aff
fryzur,fryzura,subst:pl:gen:f
frędzle,frędzel,subst:pl:nom:m3
fucraea,fucraea,ign
fulary,fular,subst:pl:nom:m3
fun,fun,ign
fundacja,fundacja,subst:sg:nom:f
fundacjach,fundacja,subst:pl:loc:f
fundacjami,fundacja,subst:pl:inst:f
fundacje,fundacja,subst:pl:nom:f
fundacji,fundacja,subst:sg:gen:f
fundacjom,fundacja,subst:pl:dat:f
fundacją,fundacja,subst:sg:inst:f
fundację,fundacja,subst:sg:acc:f
fundamencie,fundament,subst:sg:loc:m3
fundamentem,fundament,subst:sg:inst:m3
fundamentowych,fundamentowy,adj:pl:gen:m1:pos
fundatora,fundator,subst:sg:gen:m1
fundatorem,fundator,subst:sg:inst:m1
fundatorów,fundator,subst:pl:gen:m1
fundowanie,fundować,ger:sg:nom:n:imperf:aff
fundusz,fundusz,subst:sg:nom:m3
funduszach,fundusz,subst:pl:loc:m3
funduszami,fundusz,subst:pl:inst:m3
fundusze,fundusz,subst:pl:nom:m3
funduszem,fundusz,subst:sg:inst:m3
funduszom,fundusz,subst:pl:dat:m3
funduszowi,fundusz,subst:sg:dat:m3
funduszu,fundusz,subst:sg:gen:m3
funduszy,fundusz,subst:pl:gen:m3
funduszów,fundusz,subst:pl:gen:m3
funkcja,funkcja,subst:sg:nom:f
funkcjach,funkcja,subst:pl:loc:f
funkcjami,funkcja,subst:pl:inst:f
funkcje,funkcja,subst:pl:nom:f
funkcji,funkcja,subst:sg:gen:f
funkcjom,funkcja,subst:pl:dat:f
funkcjonalne,funkcjonalny,adj:sg:nom:n:pos
funkcjonalnego,funkcjonalny,adj:sg:gen:m1:pos
funkcjonalnej,funkcjonalny,adj:sg:gen:f:pos
funkcjonalnie,funkcjonalnie,adv:pos
funkcjonalno,funkcjonalno,ign
funkcjonalnoużytkowego,funkcjonalnoużytkowy,adj:sg:gen:m1:pos
funkcjonalnoużytkowym,funkcjonalnoużytkowy,adj:sg:inst:m1:pos
funkcjonalności,funkcjonalność,subst:sg:gen:f
funkcjonalność,funkcjonalność,subst:sg:nom:f
funkcjonalny,funkcjonalny,adj:sg:nom:m1:pos
funkcjonalnych,funkcjonalny,adj:pl:gen:m1:pos
funkcjonalnym,funkcjonalny,adj:sg:inst:m1:pos
funkcjonalnymi,funkcjonalny,adj:pl:inst:m1:pos
funkcjonalną,funkcjonalny,adj:sg:acc:f:pos
funkcjonariusz,funkcjonariusz,subst:sg:nom:m1
funkcjonariusza,funkcjonariusz,subst:sg:gen:m1
funkcjonariuszach,funkcjonariusz,subst:pl:loc:m1
funkcjonariuszakobiety,funkcjonariuszakobiety,ign
funkcjonariuszami,funkcjonariusz,subst:pl:inst:m1
funkcjonariusze,funkcjonariusz,subst:pl:nom:m1
funkcjonariuszem,funkcjonariusz,subst:sg:inst:m1
funkcjonariuszom,funkcjonariusz,subst:pl:dat:m1
funkcjonariuszowi,funkcjonariusz,subst:sg:dat:m1
funkcjonariuszu,funkcjonariusz,subst:sg:loc:m1
funkcjonariuszy,funkcjonariusz,subst:pl:gen:m1
funkcjonowania,funkcjonowanie,subst:sg:gen:n
funkcjonowanie,funkcjonowanie,subst:sg:nom:n
funkcjonowaniem,funkcjonowanie,subst:sg:inst:n
funkcjonowaniu,funkcjonowanie,subst:sg:dat:n
funkcjonować,funkcjonować,inf:imperf
funkcjonował,funkcjonować,praet:sg:m1:imperf
funkcjonowało,funkcjonować,praet:sg:n:imperf
funkcjonuje,funkcjonować,fin:sg:ter:imperf
funkcjonują,funkcjonować,fin:pl:ter:imperf
funkcjonujące,funkcjonować,pact:sg:nom:n:imperf:aff
funkcjonującego,funkcjonować,pact:sg:gen:m1:imperf:aff
funkcjonujących,funkcjonować,pact:pl:gen:m1:imperf:aff
funkcjonującym,funkcjonować,pact:sg:inst:m1:imperf:aff
funkcjonującymi,funkcjonować,pact:pl:inst:m1:imperf:aff
funkcją,funkcja,subst:sg:inst:f
funkcję,funkcja,subst:sg:acc:f
funkcyjnego,funkcyjny,adj:sg:gen:m1:pos
funkcyjny,funkcyjny,adj:sg:nom:m1:pos
funkcyjnym,funkcyjny,adj:sg:inst:m1:pos
funkcyjną,funkcyjny,adj:sg:acc:f:pos
funtów,funt,subst:pl:gen:m2
furcraea,furcraea,ign
furetydyna,furetydyna,ign
furfuralu,furfural,subst:sg:gen:m3
furfurylowego,furfurylowego,ign
fus,fus,subst:sg:nom:m3
futer,futer,subst:sg:nom:m3
futerałów,futerał,subst:pl:gen:m3
futerkowe,futerkowy,adj:sg:nom:n:pos
futerkowych,futerkowy,adj:pl:gen:m1:pos
futrzanej,futrzany,adj:sg:gen:f:pos
futrzarskich,futrzarski,adj:pl:gen:m1:pos
futrzarskie,futrzarski,adj:sg:nom:n:pos
futrzarskiej,futrzarski,adj:sg:gen:f:pos
future,future,ign
futures,futures,ign
fuzji,fuzja,subst:sg:gen:f
fąd,fąd,ign
g,gram,brev:npun
ga,List_do_Galatów,brev:npun
gabarytowych,gabarytowy,adj:pl:gen:m1:pos
gabinecie,gabinet,subst:sg:loc:m3
gabinet,gabinet,subst:sg:nom:m3
gabinetem,gabinet,subst:sg:inst:m3
gabinetu,gabinet,subst:sg:gen:m3
gabinety,gabinet,subst:pl:nom:m3
gabinetów,gabinet,subst:pl:gen:m3
gablin,gablin,ign
gablot,gablota,subst:pl:gen:f
gabra,gabro,subst:sg:gen:n
gacz,gacz,subst:sg:nom:m3
gadów,gad,subst:pl:gen:m1
gagarina,Gagarin,subst:sg:gen:m1
gagatu,gagat,subst:sg:gen:m3
gające,gaić,pact:sg:nom:n:imperf:aff
galanterii,galanteria,subst:sg:gen:f
galanteryjnych,galanteryjny,adj:pl:gen:m1:pos
galenowymi,galenowy,adj:pl:inst:m1:pos
galeriach,galeria,subst:pl:loc:f
galerie,galeria,subst:pl:nom:f
gallinarum,gallinarum,ign
gallisepticum,gallisepticum,ign
gallopavo,gallopavo,ign
gallus,gallus,ign
galonów,galon,subst:pl:gen:m3
galopu,galop,subst:sg:gen:m3
galowe,galowy,adj:sg:nom:n:pos
galwaniczne,galwaniczny,adj:sg:nom:n:pos
galwanicznych,galwaniczny,adj:pl:gen:m1:pos
gambit,gambit,subst:sg:nom:m3
gamma,gamma,subst:sg:nom:f
gania,ganiać,fin:sg:ter:imperf
ganiczną,ganiczną,ign
ganków,ganek,subst:pl:gen:m3
garaż,garaż,subst:sg:nom:m3
garażami,garaż,subst:pl:inst:m3
garaże,garaż,subst:pl:nom:m3
garażowej,garażowy,adj:sg:gen:f:pos
garażowych,garażowy,adj:pl:gen:m1:pos
garażu,garaż,subst:sg:gen:m3
garaży,garaż,subst:pl:gen:m3
garbarskie,garbarski,adj:sg:nom:n:pos
garderoby,garderoba,subst:sg:gen:f
garmażeryjne,garmażeryjny,adj:sg:nom:n:pos
garmażeryjnych,garmażeryjny,adj:pl:gen:m1:pos
garnizonach,garnizon,subst:pl:loc:m3
garnizonie,garnizon,subst:sg:loc:m3
garnizonowe,garnizonowy,depr:pl:nom:m2
garnizonowego,garnizonowy,subst:sg:gen:m1
garnizonowej,garnizonowy,adj:sg:gen:f:pos
garnizonowemu,garnizonowy,subst:sg:dat:m1
garnizonowy,garnizonowy,subst:sg:nom:m1
garnizonowych,garnizonowy,subst:pl:gen:m1
garnizonowym,garnizonowy,subst:sg:inst:m1
garnizonowymi,garnizonowy,subst:pl:inst:m1
garnizonu,garnizon,subst:sg:gen:m3
garnizonów,garnizon,subst:pl:gen:m3
garwoliński,garwoliński,adj:sg:nom:m1:pos
gasną,gasnąć,fin:pl:ter:imperf
gastroenteritis,gastroenteritis,ign
gastronomia,gastronomia,subst:sg:nom:f
gastronomiczna,gastronomiczny,adj:sg:nom:f:pos
gastronomiczne,gastronomiczny,adj:sg:nom:n:pos
gastronomicznego,gastronomiczny,adj:sg:gen:m1:pos
gastronomicznej,gastronomiczny,adj:sg:gen:f:pos
gastronomicznych,gastronomiczny,adj:pl:gen:m1:pos
gastronomiczną,gastronomiczny,adj:sg:acc:f:pos
gastronomii,gastronomia,subst:sg:gen:f
gaszenia,gasić,ger:sg:gen:n:imperf:aff
gaszeniu,gasić,ger:sg:dat:n:imperf:aff
gatt,GATT,subst:sg:nom:m3
gatunek,gatunek,subst:sg:nom:m3
gatunkach,gatunek,subst:pl:loc:m3
gatunkami,gatunek,subst:pl:inst:m3
gatunki,gatunek,subst:pl:nom:m3
gatunkom,gatunek,subst:pl:dat:m3
gatunkowa,gatunkowy,adj:sg:nom:f:pos
gatunkowej,gatunkowy,adj:sg:gen:f:pos
gatunkową,gatunkowy,adj:sg:acc:f:pos
gatunku,gatunek,subst:sg:gen:m3
gatunków,gatunek,subst:pl:gen:m3
gaz,gaz,subst:sg:nom:m3
gaza,gaza,subst:sg:nom:f
gazach,gaz,subst:pl:loc:m3
gazami,gaz,subst:pl:inst:m3
gazecie,gazeta,subst:sg:dat:f
gazem,gaz,subst:sg:inst:m3
gazet,gazeta,subst:pl:gen:f
gazetowy,gazetowy,adj:sg:nom:m1:pos
gazety,gazeta,subst:sg:gen:f
gazie,gaz,subst:sg:loc:m3
gazociągu,gazociąg,subst:sg:gen:m3
gazociągów,gazociąg,subst:pl:gen:m3
gazomierze,gazomierz,subst:pl:nom:m3
gazowa,gazowy,adj:sg:nom:f:pos
gazowane,gazowany,adj:sg:nom:n:pos
gazowanych,gazowany,adj:pl:gen:m1:pos
gazowe,gazowy,adj:sg:nom:n:pos
gazowego,gazowy,adj:sg:gen:m1:pos
gazowej,gazowy,adj:sg:gen:f:pos
gazownicze,gazowniczy,adj:sg:nom:n:pos
gazowniczych,gazowniczy,adj:pl:gen:m1:pos
gazowy,gazowy,adj:sg:nom:m1:pos
gazowych,gazowy,adj:pl:gen:m1:pos
gazowym,gazowy,adj:sg:inst:m1:pos
gazowymi,gazowy,adj:pl:inst:m1:pos
gazową,gazowy,adj:sg:acc:f:pos
gazu,gaz,subst:sg:gen:m3
gazy,gaz,subst:pl:nom:m3
gazyfikacji,gazyfikacja,subst:sg:gen:f
gazów,gaz,subst:pl:gen:m3
gałkami,gałka,subst:pl:inst:f
gałki,gałka,subst:sg:gen:f
gałąź,gałąź,subst:sg:nom:f
gałęzi,gałąź,subst:sg:gen:f
gałęziach,gałąź,subst:pl:loc:f
gańskich,gańskich,ign
gaśnicze,gaśniczy,adj:sg:nom:n:pos
gaśniczego,gaśniczy,adj:sg:gen:m1:pos
gaśniczej,gaśniczy,adj:sg:gen:f:pos
gaśniczy,gaśniczy,adj:sg:nom:m1:pos
gaśniczych,gaśniczy,adj:pl:gen:m1:pos
gaśniczym,gaśniczy,adj:sg:inst:m1:pos
gaśniczymi,gaśniczy,adj:pl:inst:m1:pos
gb,gigabajt,brev:npun
gdańsk,Gdańsk,subst:sg:nom:m3
gdańska,gdańska,subst:sg:nom:f
gdański,gdański,adj:sg:nom:m1:pos
gdańskiej,gdańska,subst:sg:gen:f
gdańsku,gdański,adjp
gdy,gdy,adv:pos
gdyby,gdyby,comp
gdyni,Gdynia,subst:sg:gen:f
gdynia,Gdynia,subst:sg:nom:f
gdyż,gdyż,comp
gdzie,gdzie,adv:pos
gedi,gedi,ign
gemeinschaft,gemeinschaft,ign
genera,genera,ign
generacji,generacja,subst:sg:gen:f
generalist,generalist,ign
generalna,generalny,adj:sg:nom:f:pos
generalne,generalny,adj:sg:nom:n:pos
generalnego,generalny,adj:sg:gen:m1:pos
generalnej,generalny,adj:sg:gen:f:pos
generalnemu,generalny,adj:sg:dat:m1:pos
generalni,generalny,adj:pl:nom:m1:pos
generalny,generalny,adj:sg:nom:m1:pos
generalnych,generalny,adj:pl:gen:m1:pos
generalnym,generalny,adj:sg:inst:m1:pos
generalnymi,generalny,adj:pl:inst:m1:pos
generalną,generalny,adj:sg:acc:f:pos
generalskie,generalski,adj:sg:nom:n:pos
generatora,generator,subst:sg:gen:m3
generatorowy,generatorowy,adj:sg:nom:m1:pos
generał,generał,subst:sg:nom:m1
generała,generał,subst:sg:gen:m1
generałów,generał,subst:pl:gen:m1
generowane,generować,ppas:sg:nom:n:imperf:aff
generowanych,generować,ppas:pl:gen:m1:imperf:aff
generuje,generować,fin:sg:ter:imperf
generycznych,generyczny,adj:pl:gen:m1:pos
genetyczne,genetyczny,adj:sg:nom:n:pos
genetycznego,genetyczny,adj:sg:gen:m1:pos
genetycznej,genetyczny,adj:sg:gen:f:pos
genetycznie,genetycznie,adv:pos
genetyczny,genetyczny,adj:sg:nom:m1:pos
genetycznych,genetyczny,adj:pl:gen:m1:pos
genetycznym,genetyczny,adj:sg:inst:m1:pos
genetycznymi,genetyczny,adj:pl:inst:m1:pos
genetyki,genetyka,subst:sg:gen:f
genetyką,genetyka,subst:sg:inst:f
genewie,Genewa,subst:sg:dat:f
genewskiego,genewski,adj:sg:gen:m1:pos
genewskiej,genewski,adj:sg:gen:f:pos
genewską,genewski,adj:sg:acc:f:pos
genezaret,Genezaret,subst:sg:nom:m3
genezie,geneza,subst:sg:dat:f
genital,genital,ign
genomu,genom,subst:sg:gen:m3
genotypu,genotyp,subst:sg:gen:m3
genotypy,genotyp,subst:pl:nom:m3
genotypów,genotyp,subst:pl:gen:m3
geny,gen,subst:pl:nom:m3
genów,gen,subst:pl:gen:m3
geodeci,geodeta,subst:pl:nom:m1
geodecie,geodeta,subst:sg:dat:m1
geodeta,geodeta,subst:sg:nom:m1
geodety,geodeta,subst:sg:gen:m1
geodetów,geodeta,subst:pl:gen:m1
geodetą,geodeta,subst:sg:inst:m1
geodetę,geodeta,subst:sg:acc:m1
geodezji,geodezja,subst:sg:gen:f
geodezyjna,geodezyjny,adj:sg:nom:f:pos
geodezyjne,geodezyjny,adj:sg:nom:n:pos
geodezyjnego,geodezyjny,adj:sg:gen:m1:pos
geodezyjnej,geodezyjny,adj:sg:gen:f:pos
geodezyjnemu,geodezyjny,adj:sg:dat:m1:pos
geodezyjno,geodezyjno,ign
geodezyjny,geodezyjny,adj:sg:nom:m1:pos
geodezyjnych,geodezyjny,adj:pl:gen:m1:pos
geodezyjnym,geodezyjny,adj:sg:inst:m1:pos
geodezyjnymi,geodezyjny,adj:pl:inst:m1:pos
geodezyjną,geodezyjny,adj:sg:acc:f:pos
geoelektrycznych,geoelektryczny,adj:pl:gen:m1:pos
geoficznych,geoficznych,ign
geofizycznych,geofizyczny,adj:pl:gen:m1:pos
geografia,geografia,subst:sg:nom:f
geograficzne,geograficzny,adj:sg:nom:n:pos
geograficznego,geograficzny,adj:sg:gen:m1:pos
geograficznej,geograficzny,adj:sg:gen:f:pos
geograficznemu,geograficzny,adj:sg:dat:m1:pos
geograficznie,geograficznie,adv:pos
geograficzny,geograficzny,adj:sg:nom:m1:pos
geograficznych,geograficzny,adj:pl:gen:m1:pos
geograficznym,geograficzny,adj:sg:inst:m1:pos
geograficznymi,geograficzny,adj:pl:inst:m1:pos
geograficzną,geograficzny,adj:sg:acc:f:pos
geografii,geografia,subst:sg:gen:f
geolog,geolog,subst:sg:nom:m1
geologa,geolog,subst:sg:gen:m1
geologia,geologia,subst:sg:nom:f
geologiczna,geologiczny,adj:sg:nom:f:pos
geologiczne,geologiczny,adj:sg:nom:n:pos
geologicznego,geologiczny,adj:sg:gen:m1:pos
geologicznej,geologiczny,adj:sg:gen:f:pos
geologicznemu,geologiczny,adj:sg:dat:m1:pos
geologiczno,geologiczno,ign
geologiczny,geologiczny,adj:sg:nom:m1:pos
geologicznych,geologiczny,adj:pl:gen:m1:pos
geologicznym,geologiczny,adj:sg:inst:m1:pos
geologicznymi,geologiczny,adj:pl:inst:m1:pos
geologiczną,geologiczny,adj:sg:acc:f:pos
geologii,geologia,subst:sg:gen:f
geologów,geolog,subst:pl:gen:m1
geometryczne,geometryczny,adj:sg:nom:n:pos
geomorfologicznego,geomorfologiczny,adj:sg:gen:m1:pos
geomorfologicznych,geomorfologiczny,adj:pl:gen:m1:pos
geomorfologicznymi,geomorfologiczny,adj:pl:inst:m1:pos
geoportal,geoportal,ign
georeferencyjnej,georeferencyjnej,ign
georeferencyjnych,georeferencyjnych,ign
geotechnicznych,geotechnicznych,ign
geotermalnej,geotermalny,adj:sg:gen:f:pos
geotermalnych,geotermalny,adj:pl:gen:m1:pos
geotermalną,geotermalny,adj:sg:acc:f:pos
geotermii,geotermia,subst:sg:gen:f
gestor,gestor,subst:sg:nom:m1
gestora,gestor,subst:sg:gen:m1
gestorzy,gestor,subst:pl:nom:m1
gestorów,gestor,subst:pl:gen:m1
getry,getr,subst:pl:nom:m3
gewria,gewria,ign
ghp,ghp,ign
ghz,ghz,ign
giardioza,giardioza,subst:sg:nom:f
giczne,giczne,ign
gier,gra,subst:pl:gen:f
gierzwałd,gierzwałd,ign
giełd,giełda,subst:pl:gen:f
giełda,giełda,subst:sg:nom:f
giełdach,giełda,subst:pl:loc:f
giełdowa,giełdowy,adj:sg:nom:f:pos
giełdowe,giełdowy,adj:sg:nom:n:pos
giełdowego,giełdowy,adj:sg:gen:m1:pos
giełdowej,giełdowy,adj:sg:gen:f:pos
giełdowy,giełdowy,adj:sg:nom:m1:pos
giełdowych,giełdowy,adj:pl:gen:m1:pos
giełdowym,giełdowy,adj:sg:inst:m1:pos
giełdowymi,giełdowy,adj:pl:inst:m1:pos
giełdową,giełdowy,adj:sg:acc:f:pos
giełdy,giełda,subst:sg:gen:f
giełdzie,giełda,subst:sg:dat:f
giełdą,giełda,subst:sg:inst:f
giełdę,giełda,subst:sg:acc:f
gigadżul,gigadżul,subst:sg:nom:m3
gigadżulach,gigadżul,subst:pl:loc:m3
gigant,gigant,subst:sg:nom:m1
gimnastyka,gimnastyk,subst:sg:gen:m1
gimnastyki,gimnastyka,subst:sg:gen:f
gimnazja,gimnazjum,subst:pl:nom:n
gimnazjach,gimnazjum,subst:pl:loc:n
gimnazjalne,gimnazjalny,adj:sg:nom:n:pos
gimnazjalnego,gimnazjalny,adj:sg:gen:m1:pos
gimnazjum,gimnazjum,subst:sg:nom:n
gimnazjów,gimnazjum,subst:pl:gen:n
ginecologi,ginecologi,ign
ginekologa,ginekolog,subst:sg:gen:m1
ginekologiczno,ginekologiczno,ign
ginące,ginąć,pact:sg:nom:n:imperf:aff
gipsowe,gipsowy,adj:sg:nom:n:pos
gipsowych,gipsowy,adj:pl:gen:m1:pos
gipsu,gips,subst:sg:gen:m3
gipsy,gips,subst:pl:nom:m3
gitary,gitara,subst:sg:gen:f
giętkie,giętki,adj:sg:nom:n:pos
giętkiej,giętki,adj:sg:gen:f:pos
giżycki,giżycki,adj:sg:nom:m1:pos
giżycko,giżycko,adv:pos
gj,gj,ign
gkg,gkg,ign
glanders,glanders,ign
glazurowany,glazurować,ppas:sg:nom:m1:imperf:aff
gleb,gleba,subst:pl:gen:f
gleba,gleba,subst:sg:nom:f
glebach,gleba,subst:pl:loc:f
glebie,gleba,subst:sg:dat:f
glebowe,glebowy,adj:sg:nom:n:pos
glebowego,glebowy,adj:sg:gen:m1:pos
glebowej,glebowy,adj:sg:gen:f:pos
glebowo,glebowo,ign
glebowych,glebowy,adj:pl:gen:m1:pos
glebowym,glebowy,adj:sg:inst:m1:pos
gleboznawczej,gleboznawczy,adj:sg:gen:f:pos
gleboznawstwa,gleboznawstwo,subst:sg:gen:n
gleby,gleba,subst:sg:gen:f
glebą,gleba,subst:sg:inst:f
glebę,gleba,subst:sg:acc:f
gliceryna,gliceryna,subst:sg:nom:f
glicerynę,gliceryna,subst:sg:acc:f
glin,glin,subst:sg:nom:m3
gliniaste,gliniasty,adj:sg:nom:n:pos
glinki,glinka,subst:sg:gen:f
glinowo,glinowo,ign
glinowofosfor,glinowofosfor,ign
glinowomiękkiego,glinowomiękki,adj:sg:gen:m1:pos
glinowonajmniej,glinowonajmniej,ign
glinowoprzesiew,glinowoprzesiew,ign
glinowowap,glinowowap,ign
glinowowapniowego,glinowowapniowy,adj:sg:gen:m1:pos
glinowowapniowy,glinowowapniowy,adj:sg:nom:m1:pos
gliny,glin,subst:pl:nom:m3
glistnica,glistnica,subst:sg:nom:f
gliwice,Gliwice,subst:pl:nom:n
gliwicki,gliwicki,adj:sg:nom:m1:pos
globalizacji,globalizacja,subst:sg:gen:f
globalna,globalny,adj:sg:nom:f:pos
globalne,globalny,adj:sg:nom:n:pos
globalnego,globalny,adj:sg:gen:m1:pos
globalnej,globalny,adj:sg:gen:f:pos
globalnych,globalny,adj:pl:gen:m1:pos
globalnym,globalny,adj:sg:inst:m1:pos
glonów,glon,subst:pl:gen:m3
glukoza,glukoza,subst:sg:nom:f
glukozowy,glukozowy,adj:sg:nom:m1:pos
glukozy,glukoza,subst:sg:gen:f
gm,GM,subst:sg:nom:m3
gmdss,gmdss,ign
gmin,gmin,subst:sg:nom:m3
gmina,gmina,subst:sg:nom:f
gminach,gmin,subst:pl:loc:m3
gminami,gmin,subst:pl:inst:m3
gminie,gmin,subst:sg:loc:m3
gminna,gminny,adj:sg:nom:f:pos
gminne,gminny,adj:sg:nom:n:pos
gminnego,gminny,adj:sg:gen:m1:pos
gminnej,gminny,adj:sg:gen:f:pos
gminni,gminny,adj:pl:nom:m1:pos
gminny,gminny,adj:sg:nom:m1:pos
gminnych,gminny,adj:pl:gen:m1:pos
gminnym,gminny,adj:sg:inst:m1:pos
gminnymi,gminny,adj:pl:inst:m1:pos
gminną,gminny,adj:sg:acc:f:pos
gminom,gmin,subst:pl:dat:m3
gminy,gmin,subst:pl:nom:m3
gminą,gmina,subst:sg:inst:f
gminę,gmina,subst:sg:acc:f
gmo,gmo,ign
gmp,gmp,ign
gnejsy,gnejs,subst:pl:nom:m3
gniazd,gniazdo,subst:pl:gen:n
gniazda,gniazdo,subst:sg:gen:n
gniazdowania,gniazdować,ger:sg:gen:n:imperf:aff
gniazdów,gniazdów,ign
gnieźnieński,gnieźnieński,adj:sg:nom:m1:pos
gnilnych,gnilny,adj:pl:gen:m1:pos
gnojowica,gnojowica,subst:sg:nom:f
gnojowicy,gnojowica,subst:sg:gen:f
gnojowicę,gnojowica,subst:sg:acc:f
gnojwkę,gnojwkę,ign
gnojówki,gnojówka,subst:sg:gen:f
gnojówkę,gnojówka,subst:sg:acc:f
gnozowanego,gnozowanego,ign
go,go,subst:sg:nom:n
goat,goat,ign
gobelinów,gobelin,subst:pl:gen:m3
goc,goc,ign
godeł,godło,subst:pl:gen:n
godle,godło,subst:sg:loc:n
godna,godny,adj:sg:nom:f:pos
godne,godne,subst:sg:nom:n
godnego,godne,subst:sg:gen:n
godnej,godny,adj:sg:gen:f:pos
godnie,godnie,adv:pos
godności,godność,subst:sg:gen:f
godnością,godność,subst:sg:inst:f
godność,godność,subst:sg:nom:f
godną,godny,adj:sg:acc:f:pos
godz,godz,ign
godzenia,godzenie,subst:sg:gen:n
godzi,godzić,fin:sg:ter:imperf
godzin,godzina,subst:pl:gen:f
godzina,godzina,subst:sg:nom:f
godzinach,godzina,subst:pl:loc:f
godzinami,godzina,subst:pl:inst:f
godzinie,godzina,subst:sg:dat:f
godzinne,godzinny,adj:sg:nom:n:pos
godzinnego,godzinny,adj:sg:gen:m1:pos
godzinnym,godzinny,adj:sg:inst:m1:pos
godzinom,godzina,subst:pl:dat:f
godzinowe,godzinowy,adj:sg:nom:n:pos
godzinowej,godzinowy,adj:sg:gen:f:pos
godzinowym,godzinowy,adj:sg:inst:m1:pos
godzinową,godzinowy,adj:sg:acc:f:pos
godziny,godzina,subst:sg:gen:f
godziną,godzina,subst:sg:inst:f
godzinę,godzina,subst:sg:acc:f
godziwa,godziwy,adj:sg:nom:f:pos
godziwego,godziwy,adj:sg:gen:m1:pos
godziwej,godziwy,adj:sg:gen:f:pos
godziwych,godziwy,adj:pl:gen:m1:pos
godziwą,godziwy,adj:sg:acc:f:pos
godzić,godzić,inf:imperf
godziły,godzić,praet:pl:m2:imperf
godziły,godzić,praet:pl:m2:imperf
by,by,qub
godzą,godzić,fin:pl:ter:imperf
godząc,godzić,pcon:imperf
godząca,godzić,pact:sg:nom:f:imperf:aff
godzącego,godzić,pact:sg:gen:m1:imperf:aff
godzącej,godzić,pact:sg:gen:f:imperf:aff
godzący,godzić,pact:sg:nom:m1:imperf:aff
godzących,godzić,pact:pl:gen:m1:imperf:aff
godzącym,godzić,pact:sg:inst:m1:imperf:aff
godzącą,godzić,pact:sg:acc:f:imperf:aff
godła,godło,subst:sg:gen:n
godłem,godło,subst:sg:inst:n
godło,godło,subst:sg:nom:n
goedezji,goedezji,ign
gogiczny,gogiczny,ign
golenie,golenie,subst:sg:nom:n
goleniowski,goleniowski,adj:sg:nom:m1:pos
goleniów,Goleniów,subst:sg:nom:m3
golfy,golf,subst:pl:nom:m2
golubskodobrzyński,golubskodobrzyński,adj:sg:nom:m1:pos
gondii,gondii,ign
gondolowe,gondolowy,adj:sg:nom:n:pos
gonitw,gonitwa,subst:pl:gen:f
gonitwach,gonitwa,subst:pl:loc:f
gonitwie,gonitwa,subst:sg:dat:f
gonitwy,gonitwa,subst:sg:gen:f
gonorrhoeae,gonorrhoeae,ign
gorce,Gorce,subst:pl:nom:n
gorczycowy,gorczycowy,adj:sg:nom:m1:pos
gorlice,Gorlice,subst:pl:nom:n
gorlicki,gorlicki,adj:sg:nom:m1:pos
gorseciarstwa,gorseciarstwo,subst:sg:gen:n
gorsety,gorset,subst:pl:nom:m3
gorsetów,gorset,subst:pl:gen:m3
gorszej,zły,adj:sg:gen:f:com
gorszych,zły,adj:pl:gen:m1:com
gorszącym,gorszący,adj:sg:inst:m1:pos
gorzelni,gorzelnia,subst:sg:gen:f
gorzelniach,gorzelnia,subst:pl:loc:f
gorzelnie,gorzelnia,subst:pl:nom:f
gorzków,Gorzków,subst:sg:nom:m3
gorzowie,Gorzów,subst:sg:loc:m3
gorzowskiego,gorzowski,adj:sg:gen:m1:pos
gorzów,Gorzów,subst:sg:nom:m3
gorącego,gorący,adj:sg:gen:m1:pos
