base,freq
enterowirusowe:ign,2
entomofag:subst,3
entso:ign,1
enzootic:ign,2
enzootyczny:adj,3
enzym:subst,5
enzymatyczny:adj,1
eok:ign,1
epec:ign,1
epidemia:subst,27
epidemiczny:adj,22
epidemiologicznie:ign,1
epidemiologiczny:adj,101
epilepsja:subst,2
episkopalny:adj,1
episkopat:subst,3
epizodyczny:adj,1
epizootia:subst,3
epizootic:ign,1
epizootiologia:subst,3
epizootiologicznych:ign,1
epizootiologiczną:ign,1
epizootyczny:adj,21
epndb:ign,1
epoksy:ign,14
epoksymorfinan:ign,1
epsilon:subst,1
epuap:ign,13
equine:ign,10
eraj:ign,2
ergonomia:subst,4
erozja:subst,9
erupcyjny:adj,1
erygować:ppas,1
es:subst,2
escherichia:ign,1
esin:ign,1
eskadra:subst,2
eskorta:subst,1
eskortować:pact,8
eskudo:subst,1
esp:ign,1
esparceta:subst,1
espoo:ign,1
ester:subst,40
estetyczny:adj,13
estetyka:subst,1
estoński:adj,14
estradowy:adj,6
estropodobne:ign,2
estropodobnych:ign,1
estryfikować:ppas,3
esza:ign,1
eta:subst,2
etanoloaminy:ign,1
etanoloaminą:ign,1
etanon:ign,1
etanotetrahydrooripawina:ign,1
etap:subst,114
etat:subst,79
etatowy:adj,8
etatowy:depr,6
etatowy:subst,157
etażowy:adj,1
etc:ign,8
etec:ign,1
etenooripawina:ign,2
eter:subst,12
eternit:subst,5
eteryczny:adj,2
eteryfikowane:ign,1
etiologia:subst,1
etniczny:adj,25
etnograficzno:ign,1
etnograficzny:adj,3
etokserydyna:ign,1
etoksy:ign,1
etoksybenzylo:ign,1
etonitazen:ign,1
etorfina:ign,1
etos:subst,3
etowej:ign,1
etryptamina:ign,1
etuc:ign,2
etui:subst,1
etycyklidyna:ign,1
etyczny:adj,38
etyka:subst,69
etykieta:subst,108
etykietka:subst,2
etykietować:ger,8
etylo:ign,14
etyloamfetamina:ign,1
etylometyloamino:ign,1
etylometylotiambu:ign,1
etylotiofenetyloamina:ign,1
etylowy:adj,75
eudragmdp:ign,2
eudravigilance:ign,5
eukaliptusowy:adj,1
eukodal:ign,1
euratom:ign,2
eures:ign,10
euro:subst,455
eurocode:ign,2
eurogendfor:ign,2
europ:subst,23
european:subst,2
europejski:adj,2625
europole:subst,6
eutc:ign,3
eutrofizacja:subst,7
evangelische:ign,2
ewakuacja:subst,9
ewakuacyjny:adj,1
ewakuować:ppas,2
ewaluacja:subst,16
ewangelia:subst,2
ewangelicki:adj,5
ewangelicko:adv,40
ewangelickoaugsburski:adj,1
ewangelickoreformowany:adj,1
ewangeliczny:adj,1
ewangelik:subst,1
ewangelista:subst,3
ewapotranspiracja:subst,1
ewentualnie:conj,9
ewentualny:adj,101
ewide:ign,1
ewidencja:subst,1599
ewidencjonować:fin,10
ewidencjonować:ger,84
ewidencjonować:ppas,99
ewidencyjnie:adv,2
ewidencyjno:ign,1
ewidencyjny:adj,208
ewolucja:subst,1
ex:ign,167
expedition:ign,4
ełcki:adj,2
eśl:ign,1
f:ign,591
fabrycznie:adv,6
fabryczny:adj,3
fabryka:subst,13
fabularny:adj,4
fachowy:adj,38
factoringowy:adj,3
faecalis:ign,1
faecium:ign,1
fajka:subst,4
faks:subst,14
fakt:subst,273
faktura:subst,136
faktycznie:adv,150
faktyczny:adj,402
fakultatywny:adj,5
fala:subst,11
falerystyce:ign,1
falisty:adj,2
falujący:adj,1
famae:ign,2
fan:subst,1
faniu:ign,1
fantowy:adj,37
farba:subst,9
farbować:ger,18
farbować:pact,1
farma:subst,1
farmace:ign,1
farmaceuta:subst,26
farmaceutycz:ign,1
farmaceutyczny:adj,798
farmaceutyk:subst,1
farmacja:subst,35
farmakodynamiczny:adj,4
farmakognozja:subst,1
farmakokinetyczne:ign,3
farmakokinetycznych:ign,2
farmakologia:subst,1
farmakologicznie:adv,6
farmakologiczny:adj,27
farmakopea:subst,28
farmakopealny:adj,4
farmakoterapia:subst,12
farming:ign,1
fartuch:subst,2
faszystowski:adj,1
faun:subst,6
fauna:subst,2
faxu:ign,4
faza:subst,15
fałszerstwo:subst,2
fałszować:ger,12
fałszywie:adv,6
fałszywy:adj,115
fe:interj,11
federacja:subst,47
federacyjny:adj,2
federalny:adj,30
felczer:subst,78
felczerski:adj,1
fenacylomorfinan:ign,1
fenadokson:ign,1
fenampromid:ign,1
fenazocyna:ign,1
fenetylo:ign,8
fenetyloamina:ign,1
fenetyloamino:ign,1
fenetylomorfinan:ign,1
fenol:subst,6
fenolowy:adj,1
fenomorfan:ign,1
fenoperydyna:ign,1
fenotyp:subst,1
fentanyl:ign,1
fenylo:ign,28
fenyloaminopropylo:ign,1
fenylocykloheksylo:ign,1
fenylocykloheksyloamina:ign,1
fenylopropan:ign,1
fenylopropanamid:ign,1
fep:ign,42
ferie:subst,18
ferm:subst,8
fermentacja:subst,56
fermentacyjny:adj,2
fermentować:ppas,36
fermowy:adj,11
fertygacji:ign,1
festiwal:subst,2
fever:ign,7
fi:interj,4
fiapf:ign,1
fiat:subst,1
fibrynogen:subst,1
figa:subst,4
figura:subst,4
figurować:fin,4
fikcyjny:adj,4
fikowany:ign,1
fikowanych:ign,1
filar:subst,4
filatelistyka:subst,1
filc:subst,14
filharmonia:subst,1
filia:subst,45
filialny:adj,2
filip:subst,1
film:subst,24
filmoteka:subst,3
filmować:ger,8
filmowy:adj,26
filozofia:subst,2
filozoficzno:ign,1
filozoficzny:adj,4
filtr:subst,16
filtracja:subst,6
filtracyjny:adj,6
filtrować:ger,1
filtrować:pact,1
fim:ign,1
fin:subst,1
finalista:subst,2
finalny:adj,4
finan:ign,2
finanse:subst,2330
finanso:ign,1
finansować:fin,67
finansować:ger,818
finansować:inf,6
finansować:pact,121
finansować:ppas,422
finansowo:adv,25
finansowoprawny:adj,1
finansowy:adj,4037
finał:subst,1
finałowy:adj,10
firana:subst,1
firanka:subst,15
firlej:subst,1
firma:subst,387
firmowy:adj,5
fisharmonia:subst,2
fiskalny:adj,9
fitofarmaceutyczne:ign,1
fitofarmaceutycznych:ign,1
fitomelioracja:subst,1
fitosanitarny:adj,41
fizjograficzno:ign,1
fizjograficzny:adj,31
fizjologia:subst,1
fizjologiczny:adj,24
fizjoterapeuta:subst,1
fizjoterapeutyczny:adj,1
fizjoterapia:subst,1
fizycznie:adv,8
fizyczno:ign,2
fizycznochemiczny:adj,1
fizyczny:adj,1977
fizycznychi:ign,1
fizyka:subst,6
fizykochemiczny:adj,28
fizykoterapeutyczny:adj,1
fizykoterapia:subst,1
fiński:subst,1
flaga:subst,29
flisak:subst,1
flora:subst,8
flota:subst,10
flotylla:subst,4
fluidezyjne:ign,2
fluidyzacyjny:adj,3
fluksy:ign,1
fluor:subst,1
fluorek:subst,1
fluorescencyjny:adj,1
fluoro:ign,1
fluoroetan:ign,1
fluorofentanyl:ign,1
fluoropochodne:ign,1
folder:subst,1
folia:subst,7
foliowy:adj,5
fomar:ign,1
fon:subst,1
foniczny:adj,2
fonogram:subst,58
fontanna:subst,1
foot:ign,2
for:subst,2
forma:subst,2377
formacja:subst,66
formaldehyd:subst,2
formalina:subst,1
formalno:ign,2
formalnoprawny:adj,1
formalność:subst,15
formalny:adj,86
format:subst,23
formatować:ger,1
formierski:adj,1
formować:ger,7
formować:pact,1
formować:ppas,1
formularz:subst,224
formuła:subst,1
formułować:fin,1
formułować:ger,18
formułować:inf,1
formułować:pact,1
formułować:ppas,1
fortepian:subst,1
fortepianowy:adj,4
fortyfikacja:subst,2
fortyfikacyjny:adj,1
forum:subst,7
fosa:subst,1
fosf:ign,1
fosfor:subst,44
fosfora:ign,2
fosforan:subst,37
fosforowg:ign,1
fosforowo:ign,4
fosforowy:adj,12
fosforyt:subst,55
fotelik:subst,2
fotodokument:subst,1
fotograf:subst,9
fotografia:subst,24
fotograficzny:adj,13
fotografika:subst,3
fotografować:ger,9
fotografować:inf,1
fotografować:ppas,1
fotogrametryczny:adj,16
fotoi:ign,1
fotokopia:subst,2
fotokopiować:ger,3
fotos:subst,1
fotowoltaiczny:adj,2
foul:ign,2
foulbrood:ign,2
fourcroydes:ign,2
fowl:ign,2
fracht:subst,50
frachtować:pact,34
fragment:subst,16
frak:subst,1
frakcja:subst,37
francisella:ign,1
francuski:adj,11
francuski:subst,3
frank:subst,3
fraternitas:ign,1
frd:ign,36
fretka:subst,1
frf:ign,1
front:subst,2
frontowy:adj,1
froterować:ger,1
frotte:adj,3
fruktoza:subst,11
fryzjerski:adj,3
fryzować:ger,1
fryzura:subst,1
frędzel:subst,1
fucraea:ign,1
fular:subst,3
fun:ign,1
fundacja:subst,205
fundament:subst,2
fundamentowy:adj,5
fundator:subst,12
fundować:ger,1
fundusz:subst,5079
funkcja:subst,1085
funkcjonalnie:adv,9
funkcjonalno:ign,5
funkcjonalnoużytkowy:adj,2
funkcjonalność:subst,7
funkcjonalny:adj,13
funkcjonariusz:subst,1972
funkcjonariuszakobiety:ign,1
funkcjonowanie:subst,589
funkcjonować:fin,6
funkcjonować:inf,7
funkcjonować:pact,9
funkcjonować:praet,3
funkcyjny:adj,34
funt:subst,1
furcraea:ign,1
furetydyna:ign,1
furfural:subst,1
furfurylowego:ign,1
fus:subst,57
futer:subst,5
futerał:subst,6
futerkowy:adj,19
futrzany:adj,1
futrzarski:adj,16
future:ign,1
futures:ign,1
fuzja:subst,3
fąd:ign,2
gabarytowy:adj,1
gabinet:subst,15
gablin:ign,1
gablota:subst,1
gabro:subst,1
gacz:subst,1
gad:subst,2
gagat:subst,1
gaić:pact,1
galanteria:subst,6
galanteryjny:adj,1
galenowy:adj,1
galeria:subst,3
gallinarum:ign,2
gallisepticum:ign,2
gallopavo:ign,1
gallus:ign,4
galon:subst,1
galop:subst,1
galowy:adj,1
galwaniczny:adj,5
gambit:subst,3
gamma:subst,3
ganek:subst,1
ganiać:fin,2
ganiczną:ign,1
garaż:subst,28
garażowy:adj,3
garbarski:adj,1
garderoba:subst,1
garmażeryjny:adj,7
garnizon:subst,18
garnizonowy:adj,19
garnizonowy:depr,3
garnizonowy:subst,105
garwoliński:adj,2
gasić:ger,2
gasnąć:fin,2
gastroenteritis:ign,2
gastronomia:subst,11
gastronomiczny:adj,19
gatunek:subst,454
gatunkowy:adj,46
gaz:subst,355
gaza:subst,6
gazeta:subst,6
gazetowy:adj,1
gazociąg:subst,22
gazomierz:subst,1
gazowany:adj,3
gazowniczy:adj,6
gazowy:adj,371
gazyfikacja:subst,1
gałka:subst,3
gałąź:subst,14
gańskich:ign,1
gaśniczy:adj,56
gdańska:subst,10
gdański:adj,2
gdański:adjp,21
gdy:adv,2878
gdyby:comp,92
gdyż:comp,4
gdzie:adv,148
gedi:ign,1
gemeinschaft:ign,3
gen:subst,8
genera:ign,1
generacja:subst,3
generalist:ign,2
generalny:adj,913
generalski:adj,1
generator:subst,2
generatorowy:adj,1
generał:subst,54
generować:fin,2
generować:ppas,3
generyczny:adj,1
genetycznie:adv,54
genetyczny:adj,25
genetyka:subst,2
genewski:adj,43
geneza:subst,1
genital:ign,2
genom:subst,4
genotyp:subst,11
geodeta:subst,74
geodezja:subst,51
geodezyjno:ign,5
geodezyjny:adj,219
geoelektryczny:adj,2
geoficznych:ign,1
geofizyczny:adj,1
geografia:subst,3
geograficznie:adv,2
geograficzny:adj,154
geolog:subst,9
geologia:subst,7
geologiczno:ign,8
geologiczny:adj,211
geometryczny:adj,1
geomorfologiczny:adj,3
geoportal:ign,1
georeferencyjnej:ign,1
georeferencyjnych:ign,1
geotechnicznych:ign,4
geotermalny:adj,4
geotermia:subst,1
gestor:subst,5
getr:subst,1
gewria:ign,1
ghp:ign,3
ghz:ign,1
giardioza:subst,1
giczne:ign,1
gierzwałd:ign,1
giełda:subst,325
giełdowy:adj,242
gigabajt:brev,2
gigadżul:subst,5
gigant:subst,1
gimnastyk:subst,1
gimnastyka:subst,3
gimnazjalny:adj,3
gimnazjum:subst,136
ginecologi:ign,1
ginekolog:subst,1
ginekologiczno:ign,1
ginąć:pact,2
gips:subst,5
gipsowy:adj,6
gitara:subst,1
giętki:adj,2
giżycki:adj,2
giżycko:adv,1
gj:ign,5
gkg:ign,1
glanders:ign,2
glazurować:ppas,1
gleba:subst,303
glebowo:ign,1
glebowy:adj,10
gleboznawczy:adj,6
gleboznawstwo:subst,1
gliceryna:subst,3
glin:subst,3
gliniasty:adj,1
glinka:subst,1
glinowo:ign,13
glinowofosfor:ign,1
glinowomiękki:adj,1
glinowonajmniej:ign,1
glinowoprzesiew:ign,1
glinowowap:ign,1
glinowowapniowy:adj,6
glistnica:subst,1
gliwicki:adj,2
globalizacja:subst,1
globalny:adj,40
glon:subst,5
glukoza:subst,5
glukozowy:adj,5
gmdss:ign,3
gmin:subst,2632
gmina:subst,327
gminny:adj,344
gmo:ign,298
gmp:ign,3
gnejs:subst,1
gniazdo:subst,14
gniazdować:ger,1
gniazdów:ign,1
gnieźnieński:adj,2
gnilny:adj,1
gnojowica:subst,19
gnojwkę:ign,1
gnojówka:subst,12
gnozowanego:ign,1
go:subst,861
goat:ign,2
gobelin:subst,3
goc:ign,1
godne:subst,12
godnie:adv,10
godność:subst,89
godny:adj,21
godz:ign,7
godzenie:subst,2
godzina:subst,816
godzinny:adj,12
godzinowy:adj,29
godziwy:adj,55
godzić:fin,14
godzić:inf,1
godzić:pact,27
godzić:pcon,1
godzić:praet,2
godło:subst,25
goedezji:ign,1
gogiczny:ign,1
golenie:subst,1
goleniowski:adj,2
golf:subst,4
golubskodobrzyński:adj,2
gondii:ign,1
gondolowy:adj,4
gonitwa:subst,23
gonorrhoeae:ign,1
gorczycowy:adj,2
gorlicki:adj,2
gorseciarstwo:subst,2
gorset:subst,7
gorszący:adj,1
gorzelnia:subst,5
gorzowski:adj,4
gorąco:adv,8
gorący:adj,46
gorączka:subst,12
gorączkotwórczy:adj,1
gos:ign,2
gospodar:ign,2
gospodarczo:adv,20
gospodarczy:adj,3140
gospodarka:subst,2995
gospodarność:subst,27
gospodarowanie:subst,332
gospodarować:fin,9
gospodarować:inf,4
gospodarować:pact,15
gospodarski:adj,91
gospodarstwo:subst,1107
gospodarz:subst,4
gostyniński:adj,2
gostyński:adj,2
gotowanie:subst,2
gotowany:adj,3
gotowe:subst,94
gotowość:subst,195
gotowy:adj,12
gotowy:adjc,3
gotówka:subst,56
gotówkowo:adv,1
gotówkowy:adj,28
goły:adj,1
gołąb:subst,1
gończy:subst,13
gościa:subst,5
gościnność:subst,1
gościnny:adj,5
gościć:pact,20
gościć:praet,2
gra:subst,474
gracyjnymi:ign,1
grad:subst,1
graficznie:adv,2
graficzno:ign,1
graficzny:adj,74
grafik:subst,3
grafitowy:adj,2
gram:brev,915
gram:subst,31
granatowy:adj,3
granica:subst,2000
graniczej:ign,2
graniczny:adj,1474
graniczyć:fin,1
graniczyć:pact,11
granit:subst,1
grant:subst,7
granula:subst,1
granulat:subst,1
granulka:subst,4
granulować:ppas,2
gratulacyjny:adj,2
gratyfikacja:subst,23
grawerować:ger,1
grawerski:adj,4
grawimetryczny:adj,11
grawitacyjny:adj,4
grać:pact,4
grd:ign,1
grecki:adj,3
grecki:subst,1
grobla:subst,6
grodziski:adj,5
grodzisko:subst,1
grodzić:ger,2
grodzki:adj,7
grodź:subst,1
gromada:subst,4
gromadzić:fin,69
gromadzić:ger,270
gromadzić:inf,25
gromadzić:pact,3
gromadzić:pcon,1
gromadzić:ppas,194
gromadzić:praet,5
gromadzki:adj,2
grono:subst,60
gronowy:adj,141
grossrosen:ign,1
grosz:brev,37
grosz:subst,48
grozić:fin,17
grozić:pcon,4
grozić:praet,6
groźba:subst,91
groźny:adj,2
grożący:adj,78
gruba:subst,2
grubość:subst,3
gruby:adj,2
gruby:subst,1
gruczolakowatość:ign,2
gruczoł:subst,1
grudka:subst,2
grudzień:subst,2157
grudziądzki:adj,2
grundstucksgesellschaft:ign,1
grunt:subst,1214
gruntowy:adj,105
grupa:subst,1366
grupowa:subst,79
grupować:ger,9
grupować:pact,5
grupowy:subst,20
gruszecznik:subst,1
gruszka:subst,5
gruz:subst,2
gruźlica:subst,32
gryf:subst,1
gryficki:adj,2
gryfino:ign,1
gryfiński:adj,2
gryka:subst,2
grypa:subst,2
gryzaczek:subst,1
gryzoń:subst,2
grzebalny:adj,10
grzebanie:subst,6
grzebać:fin,1
grzebowisko:subst,10
grzejnik:subst,2
grzejny:adj,4
grzeszczak:ign,1
grzewczowentylacyjny:adj,1
grzewczy:adj,26
grzmiący:adj,1
grzy:ign,1
grzyb:subst,111
grzybek:subst,2
grzybica:subst,1
grzybnia:subst,5
grzybowa:subst,3
grzyboznawcy:ign,2
grzyboznawców:ign,1
grzyboznawcę:ign,1
grzywna:subst,1262
grób:subst,99
grójecki:adj,2
gręplarstwo:ign,2
gręplować:ger,2
gt:ign,8
guano:subst,1
guaree:ign,1
guawa:subst,1
gubernator:subst,4
guido:ign,2
guillaina:ign,2
guje:ign,1
gulden:subst,1
guma:subst,6
gumboro:ign,4
gumopodobnych:ign,1
gumować:ppas,3
gumowo:ign,1
gumowy:adj,5
gustorzyn:ign,2
guz:subst,2
guzik:subst,3
guzikowy:adj,2
guzowaty:adj,2
gwar:subst,1
gwarancja:subst,579
gwarancyjny:adj,294
gwarant:subst,17
gwarantowany:adj,265
gwarantować:fin,25
gwarantować:ger,75
gwarantować:inf,8
gwarantować:pact,44
gwarantować:praet,4
gwarectwo:subst,1
gwałt:subst,2
gwałtowny:adj,20
gwh:ign,6
gwiazda:subst,2
gwiazdkowy:adj,3
gwintować:ppas,1
gzyms:subst,1
gólności:ign,4
gólnych:ign,1
góra:subst,129
górka:subst,1
górnictwo:subst,60
górniczo:adv,2
górniczy:adj,576
górnik:subst,11
górny:adj,111
górotwór:subst,39
górowski:adj,2
górski:adj,23
gąbczasty:adj,9
gąbin:ign,1
gądki:ign,1
gęsto:adv,1
gęstość:subst,9
gęś:subst,10
gładki:adj,3
głaz:subst,3
głogowski:adj,2
głos:subst,794
głosowanie:subst,860
głosować:fin,11
głosować:inf,10
głosować:pact,11
głosować:praet,6
głosowy:adj,1
głowa:subst,20
głowica:subst,6
głownia:subst,1
głośnik:subst,1
głuch:depr,3
głuch:subst,1
głuchy:adj,5
głwnego:ign,1
głwny:ign,1
głód:subst,1
głóg:subst,3
głównia:subst,1
głównie:adv,111
główny:adj,2474
głąb:subst,3
głębce:ign,1
głębinowy:adj,5
głębić:ger,12
głęboki:adj,6
głębokość:subst,25
głębszy:subst,1
h:ign,279
ha:subst,119
habilitacyjny:adj,18
habilitować:ppas,27
haccp:ign,32
haematopoietic:ign,3
haemophilus:ign,2
haemorrhagenic:ign,1
haemorrhagic:ign,4
hafciarski:adj,2
haft:subst,12
haftować:ger,2
haftować:ppas,3
haftung:ign,1
hagera:ign,3
hak:subst,1
hala:subst,3
halka:subst,4
halogenoorganiczne:ign,1
halogenowane:ign,1
halogenowanych:ign,2
halon:subst,3
halucynogenny:adj,2
hamex:ign,1
hamować:fin,1
hamować:ger,1
hamujący:adj,2
hamulcowy:adj,1
hamulec:subst,1
handel:subst,493
handlować:fin,2
handlować:imps,2
handlowiec:subst,67
handlowo:adv,9
handlowy:adj,1082
hangar:subst,3
harcerski:adj,2
harcerz:subst,1
harmala:ign,1
harmonia:subst,1
harmonijka:subst,1
harmonijność:subst,1
harmonijny:adj,2
harmoniowych:ign,4
harmonizacja:subst,22
harmonogram:subst,126
hartowniczy:adj,3
hasło:subst,37
hav:ign,1
hazard:subst,1
hazardowy:adj,9
hałas:subst,143
hańba:subst,1
hażlach:ign,1
hbfc:ign,1
hbv:ign,3
hcfc:ign,44
hcv:ign,1
hdv:ign,1
heksabromofluoropropan:ign,1
heksachlorodifluoropropan:ign,1
heksachlorofluoropropan:ign,1
heksahydro:ign,2
heksanon:ign,3
heksylo:ign,1
hektar:subst,39
hektolitr:subst,21
helgoland:ign,1
helicobacter:ign,1
helsiński:adj,15
hemodializa:subst,1
hemolityczno:ign,1
hemorrhagenic:ign,1
hepatotropowymi:ign,1
heptachlorofluoropropan:ign,1
heptanol:ign,5
heptanon:ign,3
herb:subst,4
herbata:subst,2
herbemont:ign,1
hermanowice:ign,2
hermetyczność:subst,4
heroina:subst,1
hertz:brev,3
heterocykliczny:adj,1
hev:ign,1
hfcs:ign,1
hierarchia:subst,5
hierarchiczny:adj,2
highly:ign,3
higiena:subst,240
higieniczno:ign,12
higienicznosanitarny:adj,2
higieniczny:adj,56
hip:ign,2
hiperbaryczny:adj,1
hipnoza:subst,2
hipodrom:subst,1
hipotecznie:adv,17
hipoteczny:adj,82
hipoteka:subst,205
hipotetyczny:adj,10
histopatologia:subst,2
histopatologiczny:adj,1
historia:subst,11
historyczny:adj,90
hiszpański:subst,3
hitlerowski:adj,11
hniszów:ign,1
hns:ign,1
ho:interj,1
hodować:fin,2
hodować:ger,3
hodować:ppas,23
hodowca:subst,141
hodowla:subst,244
hodowlany:adj,126
hog:ign,2
hol:subst,2
holding:subst,26
holenderski:subst,1
holować:ger,13
holować:pact,1
holować:ppas,1
holowniczy:adj,19
holownik:subst,5
homeopatrycznego:ign,1
homeopatyczny:adj,42
homogenności:ign,1
homolog:subst,3
homologacja:subst,69
homologacyjny:adj,10
homologować:ppas,1
homonimiczny:adj,2
honor:subst,19
honorarium:subst,9
honorować:ger,3
honorowo:adv,1
honorowy:adj,99
hormon:subst,4
hormonalny:adj,10
hornfelsy:ign,1
horse:ign,2
horyzontalny:adj,3
hosanna:interj,1
hospicjum:subst,1
hospicyjny:adj,4
hospitalizacja:subst,22
hospitalizować:ppas,2
hostelowych:ign,1
hostilis:ign,1
hotel:subst,22
hotelarski:adj,13
hotelowy:subst,8
how:ign,11
hołd:subst,2
hrubieszowski:adj,2
hs:ign,1
hssc:ign,1
hu:interj,1
hucisko:ign,1
huculski:adj,1
hufiec:subst,38
humanistyczny:adj,15
humanitarny:adj,40
humanitaryzm:subst,2
humanizm:subst,2
huragan:subst,2
hurt:subst,4
hurtownia:subst,148
hurtownie:adv,15
hurtowy:adj,296
huta:subst,81
hutnictwo:subst,25
hutniczy:adj,25
huśtawka:subst,1
hybryd:subst,3
hybrydowy:adj,1
hydra:subst,4
hydralizatory:ign,2
hydrauliczny:adj,16
hydroenergetyczny:adj,1
hydroforowy:adj,1
hydrogeologiczny:adj,57
hydrografia:subst,4
hydrograficzny:adj,21
hydroizolacyjnych:ign,1
hydrokodon:ign,1
hydroksy:ign,19
hydroksyanalogi:ign,1
hydroksyanalogów:ign,1
hydroksycykloheksylo:ign,4
hydroksydihydrokodeinon:ign,1
hydroksydihydromorfinon:ign,1
hydroksyetoksy:ign,1
hydroksyfenetylo:ign,2
hydroksyfentanyl:ign,1
hydroksyfenylo:ign,2
hydroksyindol:ign,1
hydroksylamina:ign,1
hydroksymorfinan:ign,1
hydroksypetydyna:ign,1
hydroksypropylo:ign,1
hydroliza:subst,6
hydrolizatory:ign,3
hydrologia:subst,3
hydrologiczno:ign,19
hydrologicznometeorologiczny:adj,10
hydrologiczny:adj,30
hydromorfinol:ign,1
hydromorfologicznych:ign,1
hydromorfon:ign,1
hydrosfera:subst,4
hydrotechniczny:adj,8
hydrotermalny:adj,3
hymn:subst,6
i:conj,90009
ia:ign,3
iaczem:ign,1
iboga:ign,1
ichtiologiczny:adj,1
ici:ign,1
icmpd:ign,2
idea:subst,13
ideał:subst,3
iden:ign,2
ideno:ign,2
idenodim:ign,8
identyczność:subst,1
identyczny:adj,71
identyfikacja:subst,342
identyfikacyjny:adj,274
identyfikator:subst,27
identyfikować:fin,2
identyfikować:ger,1
identyfikować:pact,80
ideowy:adj,1
idowy:ign,1
idynę:ign,2
ie:ign,17
iej:ign,1
iem:ign,1
iep:ign,1
ier:ign,1
iglasty:adj,12
igrzyska:subst,11
igłować:ppas,3
igłowy:adj,2
ihn:ign,2
ii:interj,574
iia:ign,31
iiar:ign,1
iib:ign,14
iii:interj,413
iiia:ign,18
iiib:ign,7
iiin:ign,1
iiiąb:ign,2
iiiąc:ign,2
iiv:ign,1
ik:ign,4
ika:ign,2
ike:ign,162
ikonograficzny:adj,1
ikra:subst,12
ilasty:adj,1
ile:adv,630
ile:num,9
ilekroć:adv,240
ilo:ign,1
iloczyn:subst,95
iloraz:subst,53
ilościowo:adv,6
ilościowy:adj,76
ilość:subst,1270
ilustracja:subst,3
ilustrować:ppas,5
iluzjonistyczny:adj,1
im:comp,483
imienie:subst,898
imiennie:adv,11
imienny:adj,177
imigracyjny:adj,1
imigrant:subst,1
imitacja:subst,6
imitować:pact,3
imię:subst,545
immatrykulacja:subst,1
immunitet:subst,33
immunoglobina:subst,1
immunoglobulina:subst,3
immunologiczny:adj,18
imo:ign,4
imoczni:ign,2
implant:subst,2
implantacja:subst,1
implantować:ppas,2
implementacja:subst,2
import:subst,259
importer:subst,307
importować:fin,1
importować:ger,3
importować:pact,3
importować:pcon,6
importować:ppas,45
importować:praet,1
importowy:adj,63
impregnacja:subst,2
impregnat:subst,1
impregnować:ger,1
impregnować:ppas,27
impreza:subst,346
impuls:subst,1
in:subst,39
inaczej:conj,796
inci:ign,5
incydent:subst,16
incydentalnie:adv,2
indagować:ppas,1
indeks:subst,4
indeksacja:subst,1
indeksować:ppas,4
indentyfikacyjnego:ign,1
indentyfikacyjny:ign,4
indentyfikacyjnym:ign,2
index:ign,1
indol:subst,6
indolilu:ign,1
indos:subst,21
indosant:subst,5
indosatariusz:subst,2
indosować:fin,1
indosować:ppas,4
indukować:ger,1
indukować:ppas,1
indyk:subst,7
indywidualizacja:subst,6
indywidualizować:pact,4
indywidualnie:adv,34
indywidualny:adj,780
indziej:adv,38
infectious:ign,11
infekcja:subst,1
infetious:ign,1
infiltracja:subst,1
inflacja:subst,5
influenza:subst,6
influenzae:ign,1
influezae:ign,1
infolinia:subst,1
informacja:subst,6909
informacyjno:ign,5
informacyjny:adj,261
informator:subst,5
informatyczny:adj,187
informatyka:subst,16
informatyzacja:subst,76
informować:fin,413
informować:ger,136
informować:inf,31
informować:pact,17
informować:pcon,31
informować:ppas,3
informować:praet,1
infrastruktura:subst,358
infrastrukturalny:adj,19
infuzyjny:adj,4
ingerencja:subst,9
ingerować:inf,1
ingredients:ign,1
inhalacja:subst,1
inhibitor:subst,6
inicjator:subst,53
inicjatywa:subst,223
inicjał:subst,7
inicjować:fin,18
inicjować:ger,87
inicjować:inf,5
inicjować:pact,7
inicjować:ppas,4
inicjować:praet,1
iniekcja:subst,1
inkasent:subst,89
inkaso:subst,10
inkorporować:pact,1
inkrustacja:subst,1
inkrustować:ger,1
inkubacja:subst,1
inn:ign,1
innowacja:subst,5
innowacyjność:subst,6
innowacyjny:adj,25
inny:adj,1584
inny:depr,2672
inny:subst,7953
inowrocławski:adj,2
inseminacja:subst,1
insert:subst,2
inspekcja:subst,1496
inspekcjonować:ppas,2
inspekcyjno:ign,5
inspekcyjny:adj,71
inspekt:subst,1
inspektor:subst,2655
inspektorat:subst,357
inspire:ign,1
inspirować:fin,2
inspirować:ger,13
inspirować:inf,1
inspirować:ppas,2
inspirujący:adj,1
instala:ign,2
instalacja:subst,960
instalacyjno:ign,2
instalacyjny:adj,11
instalator:subst,31
instalować:fin,1
instalować:ger,28
instalować:inf,2
instalować:pact,1
instalować:ppas,1
instancja:subst,622
instancyjny:adj,2
instrukcja:subst,140
instrukcyjno:ign,3
instruktaż:subst,3
instruktażowometodyczny:adj,1
instruktażowy:adj,4
instruktor:subst,34
instruktorski:adj,2
instrumen:ign,5
instrument:subst,262
instrumentalista:subst,1
instrumentalistyki:ign,3
instruować:ppas,1
instytucja:subst,1806
instytucjonalny:adj,6
instytut:subst,738
intarsja:subst,1
intarsjować:ger,1
inte:ign,1
integracja:subst,35
integracyjny:adj,33
integralność:subst,20
integralny:adj,20
