orth,base,cat
inni,inny,subst
innowacje,innowacja,subst
innowacji,innowacja,subst
innowacyjnej,innowacyjny,adj
innowacyjności,innowacyjność,subst
innowacyjność,innowacyjność,subst
innowacyjny,innowacyjny,adj
innowacyjnych,innowacyjny,adj
inny,inny,subst
innych,inny,subst
innym,inny,subst
innymi,inny,subst
inną,inny,adj
inowrocław,Inowrocław,subst
inowrocławski,inowrocławski,adj
inseminacji,inseminacja,subst
insercie,insert,subst
insertu,insert,subst
inspekcja,inspekcja,subst
inspekcjami,inspekcja,subst
inspekcje,inspekcja,subst
inspekcji,inspekcja,subst
inspekcjom,inspekcja,subst
inspekcjonowany,inspekcjonować,ppas
inspekcją,inspekcja,subst
inspekcję,inspekcja,subst
inspekcyjna,inspekcyjny,adj
inspekcyjne,inspekcyjny,adj
inspekcyjnego,inspekcyjny,adj
inspekcyjnej,inspekcyjny,adj
inspekcyjnemu,inspekcyjny,adj
inspekcyjno,inspekcyjno,ign
inspekcyjny,inspekcyjny,adj
inspekcyjnych,inspekcyjny,adj
inspekcyjnym,inspekcyjny,adj
inspekcyjnymi,inspekcyjny,adj
inspektor,inspektor,subst
inspektora,inspektor,subst
inspektorach,inspektor,subst
inspektoracie,inspektorat,subst
inspektorami,inspektor,subst
inspektorat,inspektorat,subst
inspektoratach,inspektorat,subst
inspektoratami,inspektorat,subst
inspektoratem,inspektorat,subst
inspektoratom,inspektorat,subst
inspektoratowi,inspektorat,subst
inspektoratu,inspektorat,subst
inspektoraty,inspektorat,subst
inspektoratów,inspektorat,subst
inspektorem,inspektor,subst
inspektorom,inspektor,subst
inspektorowi,inspektor,subst
inspektorze,inspektor,subst
inspektorzy,inspektor,subst
inspektorów,inspektor,subst
inspektów,inspekt,subst
inspire,inspire,ign
inspirowane,inspirować,ppas
inspirowanie,inspirować,ger
inspirowaniu,inspirować,ger
inspirować,inspirować,inf
inspiruje,inspirować,fin
inspirującym,inspirujący,adj
instala,instala,ign
instalacja,instalacja,subst
instalacjach,instalacja,subst
instalacjami,instalacja,subst
instalacje,instalacja,subst
instalacji,instalacja,subst
instalacją,instalacja,subst
instalację,instalacja,subst
instalacyjne,instalacyjny,adj
instalacyjno,instalacyjno,ign
instalacyjny,instalacyjny,adj
instalacyjnych,instalacyjny,adj
instalacyjnym,instalacyjny,adj
instalator,instalator,subst
instalatora,instalator,subst
instalatorem,instalator,subst
instalatorom,instalator,subst
instalatorowi,instalator,subst
instalatorów,instalator,subst
instalowane,instalować,ppas
instalowania,instalować,ger
instalowanie,instalować,ger
instalowaniu,instalować,ger
instalować,instalować,inf
instaluje,instalować,fin
instalujący,instalować,pact
instancja,instancja,subst
instancji,instancja,subst
instancją,instancja,subst
instancyjną,instancyjny,adj
instrukcja,instrukcja,subst
instrukcjach,instrukcja,subst
instrukcjami,instrukcja,subst
instrukcje,instrukcja,subst
instrukcji,instrukcja,subst
instrukcją,instrukcja,subst
instrukcję,instrukcja,subst
instrukcyjno,instrukcyjno,ign
instruktażowej,instruktażowy,adj
instruktażowometodyczną,instruktażowometodyczny,adj
instruktażową,instruktażowy,adj
instruktażu,instruktaż,subst
instruktor,instruktor,subst
instruktora,instruktor,subst
instruktorem,instruktor,subst
instruktorom,instruktor,subst
instruktorskich,instruktorski,adj
instruktorskie,instruktorski,adj
instruktorów,instruktor,subst
instrumen,instrumen,ign
instrument,instrument,subst
instrumentach,instrument,subst
instrumentalistyki,instrumentalistyki,ign
instrumentalistów,instrumentalista,subst
instrumentami,instrument,subst
instrumentem,instrument,subst
instrumentu,instrument,subst
instrumenty,instrument,subst
instrumentów,instrument,subst
instruowane,instruować,ppas
instytucie,instytut,subst
instytucja,instytucja,subst
instytucjach,instytucja,subst
instytucjami,instytucja,subst
instytucje,instytucja,subst
instytucji,instytucja,subst
instytucjom,instytucja,subst
instytucjonalne,instytucjonalny,adj
instytucjonalnej,instytucjonalny,adj
instytucjonalny,instytucjonalny,adj
instytucją,instytucja,subst
instytucję,instytucja,subst
instytut,instytut,subst
instytutach,instytut,subst
instytutem,instytut,subst
instytutom,instytut,subst
instytutowi,instytut,subst
instytutu,instytut,subst
instytuty,instytut,subst
instytutów,instytut,subst
intarsje,intarsja,subst
intarsjowanie,intarsjować,ger
inte,inte,ign
integracja,integracja,subst
integracji,integracja,subst
integracją,integracja,subst
integrację,integracja,subst
integracyjne,integracyjny,adj
integracyjnej,integracyjny,adj
integracyjnych,integracyjny,adj
integracyjnym,integracyjny,adj
integracyjnymi,integracyjny,adj
integralne,integralny,adj
integralnego,integralny,adj
integralnej,integralny,adj
integralności,integralność,subst
integralność,integralność,subst
integralną,integralny,adj
integrowania,integrować,ger
integrowanie,integrować,ger
integrowaniu,integrować,ger
intelektualna,intelektualny,adj
intelektualnego,intelektualny,adj
intelektualnej,intelektualny,adj
intelektualnie,intelektualnie,adv
inteligencji,inteligencja,subst
inteligentne,inteligentny,adj
inteligentnych,inteligentny,adj
intencyjny,intencyjny,adj
intensywne,intensywny,adj
intensywnego,intensywny,adj
intensywnej,intensywny,adj
intensywnie,intensywnie,adv
intensywnością,intensywność,subst
intensywność,intensywność,subst
interakcje,interakcja,subst
interakcji,interakcja,subst
interdyscyplinarne,interdyscyplinarny,adj
interdyscyplinarnego,interdyscyplinarny,adj
interdyscyplinarny,interdyscyplinarny,adj
interdyscyplinarnych,interdyscyplinarny,adj
interes,interes,subst
interesach,interes,subst
interesami,interes,subst
interesantów,interesant,subst
interesariuszami,interesariuszami,ign
interesem,interes,subst
interesie,interes,subst
interesom,interes,subst
interesowi,interes,subst
interesowność,interesowność,subst
interesu,interes,subst
interesują,interesować,fin
interesy,interes,subst
interesów,interes,subst
interfejs,interfejs,subst
interfejsu,interfejs,subst
interfejsy,interfejs,subst
interfejsów,interfejs,subst
interkalibracyjnych,interkalibracyjnych,ign
intermodalności,intermodalność,subst
internacie,internat,subst
internat,internat,subst
internatach,internat,subst
internatowo,internatowo,ign
internaty,internat,subst
internatów,internat,subst
internecie,internet,subst
internet,internet,subst
internetem,internet,subst
internetowe,internetowy,adj
internetowej,internetowy,adj
internetowych,internetowy,adj
internetowym,internetowy,adj
internetowymi,internetowy,adj
internetu,internet,subst
internowania,internować,ger
internowanych,internowana,subst
interny,interna,subst
interoperacyjności,interoperacyjność,subst
interoperacyjność,interoperacyjność,subst
interpol,Interpol,subst
interpretacja,interpretacja,subst
interpretacjach,interpretacja,subst
interpretacjami,interpretacja,subst
interpretacje,interpretacja,subst
interpretacji,interpretacja,subst
interpretacją,interpretacja,subst
interpretację,interpretacja,subst
interpretacyjne,interpretacyjny,adj
interpretacyjnych,interpretacyjny,adj
interpunkcji,interpunkcja,subst
intersputnik,intersputnik,subst
interwencja,interwencja,subst
interwencje,interwencja,subst
interwencji,interwencja,subst
interwencję,interwencja,subst
interwencyjna,interwencyjny,adj
interwencyjne,interwencyjny,adj
interwencyjnego,interwencyjny,adj
interwencyjnej,interwencyjny,adj
interwencyjny,interwencyjny,adj
interwencyjnych,interwencyjny,adj
interwencyjnym,interwencyjny,adj
interwencyjnymi,interwencyjny,adj
interwencyjną,interwencyjny,adj
interwenient,interwenient,subst
interwenienta,interwenient,subst
interwenientowi,interwenient,subst
interwenientów,interwenient,subst
interweniowanie,interweniować,ger
introligatorskich,introligatorski,adj
introligatorstwa,introligatorstwo,subst
intymnej,intymny,adj
intymności,intymność,subst
intymnych,intymny,adj
inulina,inulina,subst
inulinowego,inulinowego,ign
inulinowy,inulinowy,ign
inulinowym,inulinowym,ign
inuliny,inulina,subst
inwalida,inwalid,subst
inwalidach,inwalid,subst
inwalidami,inwalid,subst
inwalidom,inwalid,subst
inwalidy,inwalida,subst
inwalidzi,inwalid,subst
inwalidzie,inwalid,subst
inwalidzka,inwalidzki,adj
inwalidzkich,inwalidzki,adj
inwalidzkie,inwalidzki,adj
inwalidzkiego,inwalidzki,adj
inwalidzkiej,inwalidzki,adj
inwalidzką,inwalidzki,adj
inwalidztwa,inwalidztwo,subst
inwalidztwem,inwalidztwo,subst
inwalidztwie,inwalidztwo,subst
inwalidztwo,inwalidztwo,subst
inwalidów,inwalid,subst
inwalidą,inwalida,subst
inwalidę,inwalida,subst
inwazje,inwazja,subst
inwazji,inwazja,subst
inwazyjne,inwazyjny,adj
inwazyjnych,inwazyjny,adj
inwazyjnym,inwazyjny,adj
inwentarskich,inwentarski,adj
inwentarskie,inwentarski,adj
inwentaryzacja,inwentaryzacja,subst
inwentaryzacje,inwentaryzacja,subst
inwentaryzacji,inwentaryzacja,subst
inwentaryzacją,inwentaryzacja,subst
inwentaryzację,inwentaryzacja,subst
inwentaryzacyjne,inwentaryzacyjny,adj
inwentaryzacyjnych,inwentaryzacyjny,adj
inwentaryzowanej,inwentaryzować,ppas
inwentaryzowania,inwentaryzować,ger
inwentarz,inwentarz,subst
inwentarza,inwentarz,subst
inwentarzem,inwentarz,subst
inwentarzowym,inwentarzowy,adj
inwentarzu,inwentarz,subst
inwentarzy,inwentarz,subst
inwertowanego,inwertować,ppas
inwertowany,inwertować,ppas
inwertowanym,inwertować,ppas
inwestor,inwestor,subst
inwestora,inwestor,subst
inwestorach,inwestor,subst
inwestorami,inwestor,subst
inwestorem,inwestor,subst
inwestorom,inwestor,subst
inwestorowi,inwestor,subst
inwestorski,inwestorski,adj
inwestorskiego,inwestorski,adj
inwestorze,inwestor,subst
inwestorzy,inwestor,subst
inwestorów,inwestor,subst
inwestowane,inwestować,ppas
inwestowania,inwestować,ger
inwestowanie,inwestować,ger
inwestowaniem,inwestować,ger
inwestować,inwestować,inf
inwestuje,inwestować,fin
inwestujących,inwestować,pact
inwestycja,inwestycja,subst
inwestycjach,inwestycja,subst
inwestycjami,inwestycja,subst
inwestycje,inwestycja,subst
inwestycji,inwestycja,subst
inwestycją,inwestycja,subst
inwestycję,inwestycja,subst
inwestycy,inwestycy,ign
inwestycyjna,inwestycyjny,adj
inwestycyjne,inwestycyjny,adj
inwestycyjnego,inwestycyjny,adj
inwestycyjnej,inwestycyjny,adj
inwestycyjnemu,inwestycyjny,adj
inwestycyjny,inwestycyjny,adj
inwestycyjnych,inwestycyjny,adj
inwestycyjnym,inwestycyjny,adj
inwestycyjnymi,inwestycyjny,adj
inwestycyjną,inwestycyjny,adj
iny,iny,ign
inżynier,inżynier,subst
inżyniera,inżynier,subst
inżynieria,inżynieria,subst
inżynierii,inżynieria,subst
inżynierom,inżynier,subst
inżynierowi,inżynier,subst
inżynierskich,inżynierski,adj
inżynierskie,inżynierski,adj
inżynierskiej,inżynierski,adj
inżynieryjne,inżynieryjny,adj
inżynieryjnej,inżynieryjny,adj
inżynieryjno,inżynieryjno,ign
inżynieryjnych,inżynieryjny,adj
inżynierów,inżynier,subst
io,io,ign
ir,Ira,subst
irena,Irena,subst
irlandia,Irlandia,subst
irlandii,Irlandia,subst
irlandią,Irlandia,subst
irlandię,Irlandia,subst
irlandzkich,irlandzki,adj
isa,isa,ign
isabelle,isabelle,ign
isaf,isaf,ign
isbc,isbc,ign
isbn,ISBN,subst
isbt,isbt,ign
iskrowym,iskrowy,adj
iskrzeniem,iskrzenie,subst
islandia,Islandia,subst
islandii,Islandia,subst
islandią,Islandia,subst
ism,ism,ign
iso,ISO,subst
issn,ISSN,subst
istniał,istnieć,praet
istniała,istnieć,praet
istniała,istnieć,praet
by,by,qub
istniało,istnieć,praet
istniały,istnieć,praet
istnieje,istnieć,fin
istnieją,istnieć,fin
istniejąca,istnieć,pact
istniejące,istnieć,pact
istniejącego,istnieć,pact
istniejącej,istnieć,pact
istniejący,istnieć,pact
istniejących,istnieć,pact
istniejącym,istnieć,pact
istniejącymi,istnieć,pact
istniejącą,istnieć,pact
istnienia,istnienie,subst
istnienie,istnienie,subst
istnieniem,istnienie,subst
istnieniu,istnienie,subst
istnieć,istnieć,inf
istocie,istota,subst
istota,istota,subst
istotna,istotny,adj
istotne,istotny,adj
istotnego,istotny,adj
istotnej,istotny,adj
istotnie,istotnie,adv
istotności,istotność,subst
istotny,istotny,adj
istotnych,istotny,adj
istotnym,istotny,adj
istotnymi,istotny,adj
istotną,istotny,adj
istoty,istota,subst
istotą,istota,subst
istotę,istota,subst
itd,itd,ign
itl,itl,ign
itp,itp,ign
its,its,ign
ity,Ita,subst
iu,iu,ign
iv,IV,num
iva,iva,ign
ivb,ivb,ign
ix,IX,num
ixa,ixa,ign
iz,Księga_Izajasza,brev
izb,izba,subst
izba,izba,subst
izbach,izba,subst
izbami,izba,subst
izbie,izba,subst
izbom,izba,subst
izbowej,izbowy,adj
izby,izba,subst
izbą,izba,subst
izbę,izba,subst
izo,Iza,subst
izob,izob,ign
izobu,izobu,ign
izobuty,izobut,subst
izobutyl,izobutyl,subst
izobutyli,izobutyl,subst
izobutylid,izobutylid,ign
izobutylide,izobutylide,ign
izobutyliden,izobutyliden,ign
izobutylideno,izobutylideno,ign
izobutylidenodi,izobutylidenodi,ign
izobutylidenodim,izobutylidenodim,ign
izobutylidenodimoczni,izobutylidenodimoczni,ign
izobutylidenodimocznika,izobutylidenodimocznika,ign
izobutylpotasu,izobutylpotasu,ign
izocyjaniany,izocyjanian,subst
izoglukoza,izoglukoza,subst
izoglukozy,izoglukoza,subst
izoglukozą,izoglukoza,subst
izoglukozę,izoglukoza,subst
izolacja,izolacja,subst
izolacji,izolacja,subst
izolację,izolacja,subst
izolacyjne,izolacyjny,adj
izolacyjnego,izolacyjny,adj
izolacyjnej,izolacyjny,adj
izolacyjno,izolacyjno,ign
izolacyjności,izolacyjność,subst
izolacyjny,izolacyjny,adj
izolacyjnych,izolacyjny,adj
izolacyjną,izolacyjny,adj
izolator,izolator,subst
izolatorskich,izolatorskich,ign
izolaty,izorok,subst
izolowane,izolować,ppas
izolowanej,izolować,ppas
izolowania,izolować,ger
izolowanie,izolować,ger
izolowanych,izolować,ppas
izolujących,izolować,pact
izomasłowym,izomasłowy,adj
izomery,izomer,subst
izomeryzacji,izomeryzacja,subst
izomerów,izomer,subst
izometadon,izometadon,subst
izopol,izopola,subst
izopropylowy,izopropylowy,ign
izotopowe,izotopowy,adj
izotopowej,izotopowy,adj
izotopowymi,izotopowy,adj
izotopy,izotop,subst
izotopów,izotop,subst
izotropowo,izotropowo,ign
ią,ią,ign
iąii,iąii,ign
ić,ić,ign
iława,Iława,subst
iławski,iławski,adj
iłu,ił,subst
iż,iż,comp
j,j,ign
ja,ja,ppron12
jabłecznika,jabłecznik,subst
jabłek,jabłko,subst
jabłka,jabłko,subst
jabłkami,jabłko,subst
jabłkowych,jabłkowe,subst
jachtów,jacht,subst
jacket,jacket,ign
jacobsoni,jacobsoni,ign
jacquez,jacquez,ign
jadalne,jadalny,subst
jadalni,jadalnia,subst
jadalnych,jadalny,subst
jadem,jad,subst
jadowitych,jadowity,adj
jadwigi,Jadwiga,subst
jadącego,jechać,pact
jadącemu,jechać,pact
jagiellońskiego,jagielloński,adj
jagiellońskiej,jagielloński,adj
jaglica,jaglica,subst
jagniąt,jagnię,subst
jagnięce,jagnięcy,adj
jagnięta,jagnię,subst
jagodowych,jagodowy,adj
jagód,jagoda,subst
jaj,jaja,subst
jaja,jaja,subst
jajami,jaja,subst
jajczarskimi,jajczarski,adj
jajecznych,jajeczny,adj
jajowe,jajowy,adj
jajowych,jajowy,adj
jak,jak,conj
jaka,jak,subst
jakakolwiek,jakikolwiek,adj
jakby,jakby,comp
jaki,jak,subst
jakich,jaki,adj
jakichkolwiek,jakikolwiek,adj
jakie,jaki,adj
jakiego,jaki,adj
jakiegokolwiek,jakikolwiek,adj
jakiej,jaki,adj
jakiejkolwiek,jakikolwiek,adj
jakiekolwiek,jakikolwiek,adj
jakiemu,jaki,adj
jakiemukolwiek,jakikolwiek,adj
jakikolwiek,jakikolwiek,adj
jakim,jaki,adj
jakimi,jaki,adj
jakimikolwiek,jakikolwiek,adj
jakimkolwiek,jakikolwiek,adj
jako,jako,conj
jakoba,jakoba,ign
jakoś,jakoś,adv
jakości,jakość,subst
jakościowa,jakościowy,adj
jakościowe,jakościowy,adj
jakościowego,jakościowy,adj
jakościowej,jakościowy,adj
jakościowy,jakościowy,adj
jakościowych,jakościowy,adj
jakościowym,jakościowy,adj
jakościowymi,jakościowy,adj
jakościową,jakościowy,adj
jakością,jakość,subst
jakość,jakość,subst
jaką,jaka,subst
jakąkolwiek,jakikolwiek,adj
jamy,jama,subst
jan,Jan,subst
jana,JANA,subst
janeiro,Janeiro,burk
janowice,Janowice,subst
janowski,janowski,adj
januszewo,januszewo,ign
japonica,japonica,ign
japonię,Japonia,subst
jarocin,Jarocin,subst
jarocinie,Jarocin,subst
jarociński,jarociński,adj
jarosław,Jarosław,subst
jarosławiec,jarosławiec,ign
jarosławski,jarosławski,adj
jary,jar,subst
jasielski,jasielski,adj
jaskiniach,jaskinia,subst
jaskinie,jaskinia,subst
jaskinię,jaskinia,subst
jaskiń,jaskinia,subst
jasne,jasny,adj
jasnego,jasny,adj
jasno,jasno,adv
jasność,jasność,subst
jasny,jasny,adj
jasnych,jasny,adj
jasną,jasny,adj
jastkowice,jastkowice,ign
jastrzębie,jastrząb,subst
jaw,jaw,subst
jawna,jawny,adj
jawne,jawny,adj
jawnego,jawny,adj
jawnej,jawny,adj
jawnie,jawnie,adv
jawności,jawność,subst
jawność,jawność,subst
jawny,jawny,adj
jawnych,jawny,adj
jawnym,jawny,adj
jawnymi,jawny,adj
jawną,jawny,adj
jawor,jawor,subst
jaworski,jaworski,adj
jaworzno,Jaworzno,subst
jazd,jazda,subst
jazda,jazda,subst
jazdach,jazda,subst
jazdami,jazda,subst
jazdy,jazda,subst
jazdą,jazda,subst
jazów,jaz,subst
jaćmierz,jaćmierz,ign
jałowości,jałowość,subst
jałówka,jałówka,subst
jaśki,jasiek,subst
je,on,ppron3
jechać,jechać,inf
jed,jed,ign
jeden,jeden,subst
jedenastego,jedenasty,subst
jedenastu,jedenaście,num
jedenastym,jedenasta,subst
jedna,jeden,adj
jednak,jednak,conj
jednakowa,jednakowy,adj
jednakowe,jednakowy,adj
jednakowego,jednakowy,adj
jednakowej,jednakowy,adj
jednakowo,jednakowo,adv
jednakowy,jednakowy,adj
jednakowych,jednakowy,adj
jednakowym,jednakowy,adj
jednakową,jednakowy,adj
jednakże,jednakże,qub
jedne,jeden,subst
jednego,jeden,subst
jednej,jeden,adj
jednemu,jeden,subst
jedno,jedno,qub
jednobrzmiących,jednobrzmiący,adj
jednoczesne,jednoczesny,adj
jednoczesnego,jednoczesny,adj
jednoczesnej,jednoczesny,adj
jednoczesny,jednoczesny,adj
jednoczesnym,jednoczesny,adj
jednocześnie,jednocześnie,adv
jednodaniowych,jednodaniowy,adj
jednoetapowa,jednoetapowy,adj
jednoetapowy,jednoetapowy,adj
jednogłośnie,jednogłośnie,adv
jednoinstancyjne,jednoinstancyjny,adj
jednoizbowych,jednoizbowy,adj
jednokopytne,jednokopytny,adj
jednokopytnych,jednokopytny,adj
jednokrotne,jednokrotny,adj
jednokrotnego,jednokrotny,adj
jednokrotnej,jednokrotny,adj
jednokrotnie,jednokrotnie,adv
jednokrotność,jednokrotność,subst
jednokrotny,jednokrotny,adj
jednolicie,jednolicie,adv
jednolite,jednolity,adj
jednolitego,jednolity,adj
jednolitej,jednolity,adj
jednolitości,jednolitość,subst
jednolitość,jednolitość,subst
jednolity,jednolity,adj
jednolitych,jednolity,adj
jednolitym,jednolity,adj
jednolitą,jednolity,adj
jednolub,jednolub,ign
jednomandatowym,jednomandatowy,adj
jednomiesięczne,jednomiesięczny,adj
jednomiesięcznego,jednomiesięczny,adj
jednomiesięcznym,jednomiesięczny,adj
jednomyślna,jednomyślny,adj
jednomyślnej,jednomyślny,adj
jednomyślności,jednomyślność,subst
jednomyślność,jednomyślność,subst
jednomyślnych,jednomyślny,adj
jednomyślną,jednomyślny,adj
jednoosiowe,jednoosiowy,adj
jednoosobowa,jednoosobowy,adj
jednoosobowe,jednoosobowy,adj
jednoosobowego,jednoosobowy,adj
jednoosobowej,jednoosobowy,adj
jednoosobowi,jednoosobowy,adj
jednoosobowo,jednoosobowo,adv
jednoosobowy,jednoosobowy,adj
jednoosobowych,jednoosobowy,adj
jednoosobowym,jednoosobowy,adj
jednoosobową,jednoosobowy,adj
jednorazowa,jednorazowy,adj
jednorazowe,jednorazowy,adj
jednorazowego,jednorazowy,adj
jednorazowej,jednorazowy,adj
jednorazowo,jednorazowo,adv
jednorazowy,jednorazowy,adj
jednorazowych,jednorazowy,adj
jednorazowym,jednorazowy,adj
jednorazową,jednorazowy,adj
jednoroczne,jednoroczny,adj
jednorodne,jednorodny,adj
jednorodnej,jednorodny,adj
jednorodności,jednorodność,subst
jednorodność,jednorodność,subst
jednorodny,jednorodny,adj
jednorodnych,jednorodny,adj
jednorodną,jednorodny,adj
jednorodzinnego,jednorodzinny,adj
jednorodzinny,jednorodzinny,adj
jednorodzinnych,jednorodzinny,adj
jednorodzinnym,jednorodzinny,adj
jednosekcyjnym,jednosekcyjny,adj
jednostce,jednostka,subst
jednostek,jednostka,subst
jednostka,jednostka,subst
jednostkach,jednostka,subst
jednostkami,jednostka,subst
jednostki,jednostka,subst
jednostkom,jednostka,subst
jednostkow,jednostkow,ign
jednostkowa,jednostkowy,adj
jednostkowe,jednostkowy,adj
jednostkowego,jednostkowy,adj
jednostkowej,jednostkowy,adj
jednostkowo,jednostkowo,adv
jednostkowych,jednostkowy,adj
jednostkowym,jednostkowy,adj
jednostkową,jednostkowy,adj
jednostką,jednostka,subst
jednostkę,jednostka,subst
jednostopniowa,jednostopniowy,adj
jednostronne,jednostronny,adj
jednostronnego,jednostronny,adj
jednostronnej,jednostronny,adj
jednostronnie,jednostronnie,adv
jednostronnych,jednostronny,adj
jednostronną,jednostronny,adj
jednowapniowy,jednowapniowy,adj
jednowodny,jednowodny,adj
jednozmianowy,jednozmianowy,subst
jednoznaczne,jednoznaczny,adj
jednoznacznego,jednoznaczny,adj
jednoznacznej,jednoznaczny,adj
jednoznacznie,jednoznacznie,adv
jednoznaczny,jednoznaczny,adj
jednoznacznych,jednoznaczny,adj
jednoznaczną,jednoznaczny,adj
jedności,jedność,subst
jednośladowych,jednośladowy,adj
jednośladowym,jednośladowy,adj
jednych,jeden,subst
jednym,jeden,subst
jedną,jeden,adj
jedwabiu,jedwab,subst
jedwabniki,jedwabnik,subst
jedwabników,jedwabnik,subst
jedyna,jedyna,subst
jedyne,jedyna,subst
jedynego,jedyne,subst
jedynemu,jedyne,subst
jedynie,jedynie,qub
jedyny,jedyny,subst
jedynym,jedyna,subst
jedynymi,jedyna,subst
jedyną,jedyna,subst
jeeli,jeeli,ign
jego,on,ppron3
jej,on,ppron3
jejuni,jejuni,ign
jekty,jekty,ign
jeleni,jeleń,subst
jelenia,jeleń,subst
jelenie,jeleń,subst
jeleniogórski,jeleniogórski,adj
jeleniowate,jeleniowate,subst
jeleń,jeleń,subst
jelit,jelito,subst
jelita,jelito,subst
jelitową,jelitowy,adj
jemu,on,ppron3
jenoty,jenot,subst
jersinioza,jersinioza,ign
jeruzalem,Jeruzalem,subst
jesiennej,jesienny,adj
jesiennym,jesienny,adj
jesionowy,jesionowy,adj
jest,być,fin
jestem,być,fin
jesteście,być,fin
jeszcze,jeszcze,qub
jewish,jewish,ign
jewodzie,jewodzie,ign
jewodów,jewodów,ign
jewódzkim,jewódzkim,ign
jezdna,jezdny,adj
jezdne,jezdny,depr
jezdni,jezdnia,subst
jezdnia,jezdnia,subst
jezdniowe,jezdniowy,adj
jezdnią,jezdnia,subst
jezdnię,jezdnia,subst
jezdnych,jezdny,subst
jezdną,jezdny,adj
jezior,jezioro,subst
jeziora,jezioro,subst
jeziorach,jezioro,subst
jeziorami,jezioro,subst
jeziorna,jeziorny,adj
jeziornie,Jeziorna,subst
jezioro,jezioro,subst
jeziórko,jeziórko,ign
jezus,Jezus,subst
jeńców,jeniec,subst
jeśli,jeśli,comp
jeździe,jazda,subst
jeździec,jeździec,subst
jeździeckiej,jeździecki,adj
jeźdźca,jeździec,subst
jeźdźcom,jeździec,subst
jeźdźcy,jeździec,subst
jeźdźców,jeździec,subst
jeż,jeż,subst
jeżdżą,jeździć,fin
jeżel,jeżel,ign
jeżeli,jeżeli,comp
jeżli,jeżli,ign
ji,ji,ign
jnych,jnych,ign
jodem,jod,subst
jodofenetyloamina,jodofenetyloamina,ign
jogurt,jogurt,subst
jojoba,jojoba,subst
jonizujące,jonizować,pact
jonizującego,jonizować,pact
jonizujących,jonizować,pact
jonizującym,jonizować,pact
jonowymiennych,jonowymiennych,ign
jonych,jonych,ign
jonów,jon,subst
jordanowskich,jordanowski,adj
jordanowskie,jordanowski,adj
jordbruk,jordbruk,ign
jordburg,jordburg,ign
jorku,Jork,subst
joulie,joulie,ign
jowej,jowej,ign
jowym,jowym,ign
jowymi,jowymi,ign
jscu,jscu,ign
jubilerskie,jubilerski,adj
jubilerstwa,jubilerstwo,subst
jubileuszowa,jubileuszowy,adj
jubileuszowe,jubileuszowy,adj
jubileuszowej,jubileuszowy,adj
jubileuszowych,jubileuszowy,adj
jubileuszową,jubileuszowy,adj
juchy,jucha,subst
jucznych,juczny,adj
jugosławii,Jugosławia,subst
juków,juk,subst
junacy,junak,subst
junakom,junak,subst
jungholz,jungholz,ign
juniorystom,juniorystom,ign
juniorystów,juniorystów,ign
junioryści,junioryści,ign
jurek,Jurek,subst
jurija,Jurij,subst
jurorów,juror,subst
jury,jura,subst
jurysdykcja,jurysdykcja,subst
jurysdykcji,jurysdykcja,subst
jurysdykcją,jurysdykcja,subst
jurysdykcję,jurysdykcja,subst
jurysdykcyjne,jurysdykcyjny,adj
jurysdykcyjną,jurysdykcyjny,adj
juty,jut,subst
już,już,qub
jw,jw,ign
jwh,jwh,ign
józefa,Józef,subst
ją,on,ppron3
jące,jące,ign
jący,jący,ign
jących,jących,ign
jącą,jącą,ign
jądrowa,jądrowy,adj
jądrowe,jądrowy,adj
jądrowego,jądrowy,adj
jądrowej,jądrowy,adj
jądrowemu,jądrowy,adj
jądrowy,jądrowy,adj
jądrowych,jądrowy,adj
jądrowym,jądrowy,adj
jądrowymi,jądrowy,adj
jądrową,jądrowy,adj
jęczmienia,jęczmień,subst
jęczmień,jęczmień,subst
jętnym,jętny,adj
język,język,subst
języka,język,subst
językach,język,subst
języki,język,subst
językiem,język,subst
języko,języko,ign
językowego,językowy,adj
językowej,językowy,adj
językowych,językowy,adj
językową,językowy,adj
językoznawstwa,językoznawstwo,subst
języku,język,subst
języków,język,subst
k,k,prep
ka,ka,subst
kabel,kabel,subst
kabelkowe,kabelkowe,ign
kabiny,kabina,subst
kabinę,kabina,subst
kabla,kabel,subst
kablowe,kablowy,adj
kablowej,kablowy,adj
kablowych,kablowy,adj
kablową,kablowy,adj
kabotaż,kabotaż,subst
kabotażowego,kabotażowy,adj
kabotażowy,kabotażowy,adj
kabotażowych,kabotażowy,adj
kabotażu,kabotaż,subst
kach,Kacha,subst
kaczek,kaczka,subst
kaczka,kaczka,subst
kaczki,kaczka,subst
kaczorowskiemu,Kaczorowski,subst
kadencja,kadencja,subst
kadencjami,kadencja,subst
kadencje,kadencja,subst
kadencji,kadencja,subst
kadencją,kadencja,subst
kadencję,kadencja,subst
kadencyjne,kadencyjny,adj
kadencyjnych,kadencyjny,adj
kadm,kadm,subst
kadmowe,kadmowy,adj
kadmowych,kadmowy,adj
kadmu,kadm,subst
kadr,kadr,subst
kadra,kadra,subst
kadrami,kadr,subst
kadrowe,kadrowy,adj
kadrowego,kadrowy,adj
kadrowej,kadrowy,adj
kadrowy,kadrowy,adj
kadrowych,kadrowy,adj
kadrowym,kadrowy,adj
kadrowymi,kadrowy,adj
kadrową,kadrowy,adj
kadry,kadr,subst
kadrze,kadr,subst
kadrą,kadra,subst
kadrę,kadra,subst
